gen	time	h	d
212	7527	101.831215	29.447897
213	7554	101.72941	29.670763
214	7428	101.57077	30.054329
215	7420	101.12736	30.014013
216	7387	100.761284	29.956905
217	7441	100.88584	30.234991
218	7412	101.37729	30.709305
219	7274	101.83652	30.790548
220	7258	101.96397	30.892092
221	7281	102.21231	31.322214
222	7218	102.169044	31.46862
223	7224	102.44483	31.334244
224	7229	102.0294	31.748112
225	7078	102.484856	32.22534
226	7028	102.363945	31.873875
227	7057	102.25368	32.11563
228	6927	102.66502	31.733395
229	7110	102.32583	31.368382
230	7204	101.876175	31.387047
231	7139	101.46821	31.717293
232	7045	101.71902	31.597023
233	6993	101.63915	31.963326
234	7061	101.81561	31.935799
235	7010	101.72959	31.889645
236	7122	101.67335	31.680103
237	7042	101.40706	31.408083
238	7196	101.817375	31.694
239	7047	101.73206	31.69986
240	7144	101.24764	31.455927
241	7146	100.9557	31.323019
242	7075	100.827965	30.83525
243	7134	100.85237	31.300074
244	7108	100.55086	31.412466
245	7087	100.90904	31.400589
246	6997	100.50443	31.169714
247	7021	100.54025	31.517971
248	7128	100.799324	31.27447
249	7135	100.89348	31.025894
250	7199	100.86447	30.85136
251	7230	100.69099	30.545448
252	7293	100.44618	30.99502
253	7171	100.38716	30.72664
254	7156	100.6286	31.176472
255	7100	100.74256	30.94089
256	7125	101.16176	31.397009
257	7144	100.895164	31.617413
258	7000	100.888115	31.328257
259	7108	101.255806	31.148521
260	7100	100.82449	31.376812
261	7020	101.2806	30.895222
262	7210	101.54855	30.920496
263	7242	101.86477	30.805185
264	7233	102.34134	30.914879
265	7227	102.169556	31.157478
266	7233	101.70196	31.110039
267	7204	102.16886	31.38744
268	7117	102.51027	30.904707
269	7328	102.23967	30.634993
270	7273	102.59163	30.729046
271	7334	102.658264	30.23367
272	7399	103.15466	29.857183
273	7574	103.352356	29.464005
274	7694	103.81489	29.566978
275	7617	103.897415	29.835058
276	7629	103.80184	30.035666
277	7542	104.168884	30.392937
278	7581	103.99054	30.58788
279	7518	103.53702	30.454329
280	7495	103.89366	30.299
281	7486	103.86502	30.385582
282	7553	103.5922	30.670797
283	7441	103.373535	30.986263
284	7386	102.87914	31.239727
285	7247	103.21621	31.309086
286	7266	103.63682	31.34074
287	7257	103.22719	31.10248
288	7303	103.41979	30.985485
289	7271	103.601616	30.958427
290	7426	103.87416	30.99151
291	7414	103.409546	31.14627
292	7437	103.49743	30.709105
293	7470	103.5833	31.172443
294	7261	103.45307	31.47677
295	7197	103.424805	31.059858
296	7335	103.05116	30.984293
297	7337	103.33337	30.841
298	7307	103.80229	30.514359
299	7510	104.26802	30.840986
300	7317	104.160576	30.700518
301	7556	104.377495	30.66909
302	7398	104.48786	30.330063
303	7514	104.61404	30.352112
304	7664	104.41461	30.776834
305	7488	104.21439	31.241123
306	7342	104.29553	30.879189
307	7439	104.7883	31.126842
308	7412	104.38499	31.481958
309	7332	104.08645	31.96402
310	7204	104.51899	31.837902
311	7204	104.37342	31.5327
312	7300	104.61426	31.583736
313	7219	104.27152	31.917385
314	7216	104.40811	31.620735
315	7382	104.334984	32.04116
316	7132	104.4039	32.424553
317	7071	103.96979	31.936539
318	7149	104.28279	31.600258
319	7234	104.03116	31.178238
320	7270	104.000565	31.44234
321	7284	104.16101	31.070772
322	7342	104.17274	30.917164
323	7456	104.50412	31.319925
324	7386	104.27619	31.418737
325	7203	104.399124	31.242216
326	7376	104.282104	30.848679
327	7459	103.79978	31.109282
328	7256	103.9748	31.437634
329	7328	103.97735	31.3921
330	7327	103.94569	31.568195
331	7148	104.01462	31.546242
332	7344	104.086876	31.11029
333	7463	104.10402	31.306074
334	7370	103.68234	31.580235
335	7168	103.626015	31.426039
336	7312	103.23529	31.497608
337	7255	102.82257	31.017174
338	7362	102.89048	31.18342
339	7166	103.36927	30.840847
340	7336	103.04942	30.406784
341	7423	103.019875	30.233768
342	7426	103.38475	30.032558
