gen	time	h	d
0	8606	100.02896	24.79847
1	8700	100.162056	24.356863
2	8984	100.54633	24.451065
3	8839	100.7079	24.785666
4	8735	100.623726	25.124584
5	8701	100.98915	24.858301
6	8797	101.36432	24.656322
7	8972	101.22376	24.184866
8	9081	101.4933	23.714258
9	9177	101.6357	23.733961
10	9303	101.8207	23.687193
11	9218	101.47079	23.631405
12	9140	101.94496	23.930216
13	9184	102.39249	23.633959
14	9234	101.93026	23.751562
15	9286	102.41603	24.082928
16	9210	102.37484	24.027254
17	9119	102.469185	24.267258
18	9143	102.9091	23.77312
19	9323	102.66776	23.915913
20	9250	103.14673	23.88882
21	9265	102.87311	24.1675
22	9253	102.58771	23.800653
23	9226	102.94046	23.379229
24	9465	103.15372	23.801138
25	9323	102.842094	23.323053
26	9429	103.30691	23.231115
27	9534	103.68678	23.25693
28	9562	104.18305	22.795908
29	9743	103.83297	22.53808
30	9850	103.37788	22.50206
31	9905	102.95867	22.8664
32	9665	102.9999	22.502144
33	9878	103.49075	22.01404
34	10074	103.4235	21.549566
35	10322	103.05984	21.830471
36	10105	103.22928	21.720978
37	10243	102.77574	21.633951
38	10118	102.98218	22.077797
39	9963	102.50333	22.339336
40	9824	102.38475	22.067003
41	9916	102.18732	21.694498
42	10128	101.86591	21.326475
43	10192	101.848885	21.444624
44	10127	101.75543	21.071714
45	10255	101.688705	21.011944
46	10428	101.35482	20.984512
47	10232	101.69216	21.061914
48	10317	101.65656	21.14032
49	10320	102.036766	21.03626
50	10374	101.798416	21.434364
51	10147	101.93195	21.59261
52	10149	101.50233	22.00614
53	9880	101.8929	22.412308
54	9802	102.02854	22.404158
55	9864	101.74145	22.276615
56	9831	101.95848	21.801235
57	10008	102.07526	21.761568
58	10081	102.50424	21.682007
59	10118	102.04271	22.058552
60	9962	101.96556	22.085224
61	9907	102.109085	22.28619
62	9832	101.62512	22.729143
63	9609	101.53026	23.22323
64	9445	101.97446	23.471863
65	9323	101.82848	23.031681
66	9467	101.63796	22.853361
67	9540	101.146355	23.27627
68	9426	101.45236	23.684414
69	9312	101.900856	23.296055
70	9453	101.61498	23.326027
71	9510	102.10552	22.866674
72	9634	101.82989	22.677101
73	9662	102.275604	22.606848
74	9689	102.41382	23.076374
75	9509	102.067665	23.367525
76	9352	102.27876	23.219545
77	9460	102.4641	23.142557
78	9533	102.40406	23.209911
79	9434	102.42037	23.38799
80	9359	102.31555	23.211449
81	9518	102.49714	23.456171
82	9392	102.686676	23.238277
83	9550	102.652405	23.206625
84	9504	103.10108	23.365683
85	9366	103.3906	23.132969
86	9515	103.06708	23.176723
87	9617	103.41452	23.185858
88	9573	102.96912	23.481987
