gen	time	h	d
0	8681	99.85554	24.71323
1	8823	99.74982	25.005009
2	8552	99.49851	24.964891
3	8712	99.31235	25.138584
4	8482	99.107315	25.630516
5	8362	99.45469	25.930988
6	8351	99.8206	26.41432
7	8165	99.64213	26.446915
8	8208	99.75384	26.192406
9	8294	99.87821	26.517965
10	8253	99.83145	26.739809
11	8127	99.44017	26.31799
12	8182	99.06951	26.17495
13	8251	99.41856	26.355335
14	8178	99.14507	26.375298
15	8147	99.109116	26.005142
16	8317	98.98557	26.401577
17	8185	98.78271	26.178991
18	8215	98.45885	26.393993
19	8103	98.179016	26.610771
20	8001	98.14944	26.272196
21	8160	98.00119	25.957743
22	8258	98.41215	26.327488
23	8215	98.592636	25.866304
24	8207	98.70461	26.263208
25	8282	98.593956	25.874657
26	8296	98.93301	25.624462
27	8329	99.09435	25.69048
28	8364	98.93775	26.091042
29	8327	99.359146	26.030045
30	8296	98.91619	26.360851
31	8110	98.58962	26.105768
32	8170	98.12378	25.71788
33	8330	98.00467	25.860888
34	8152	98.32565	25.43389
35	8405	98.74025	25.87709
36	8229	98.692215	25.943966
37	8355	98.57666	25.887432
38	8271	98.87682	25.933758
39	8297	99.35867	25.43712
40	8457	99.07796	25.347336
41	8545	99.046486	25.602852
42	8441	98.918625	25.75982
43	8313	99.15665	25.749674
44	8353	98.69327	25.825436
45	8390	98.8091	25.956457
46	8242	99.07493	26.440166
47	8110	98.80502	26.585642
48	8123	99.26919	26.5879
49	8110	99.75374	26.595942
50	8173	99.54333	26.165134
51	8278	99.39192	25.752777
52	8427	99.60887	25.6866
53	8317	99.37132	25.972122
54	8335	99.26485	25.94147
55	8250	98.94041	25.906954
56	8304	98.512245	26.091467
57	8219	98.99366	25.816786
58	8405	98.74114	26.240814
59	8205	98.38556	26.220804
60	8089	98.116936	26.059803
61	8179	97.75702	25.691227
62	8270	98.09577	25.606087
63	8240	98.35216	25.720697
64	8316	97.99043	26.07212
65	8135	97.85201	26.224913
66	8171	97.587166	26.580788
67	7971	97.25739	26.90113
68	7948	97.67625	27.176184
69	7899	97.66178	27.006756
70	7875	97.776085	27.112188
71	7848	98.07473	26.733543
72	8004	98.43369	26.424572
73	8057	98.37088	26.785841
74	7964	97.93384	26.758335
75	7913	97.507126	26.655607
76	7969	97.09227	26.215054
77	8045	97.56139	26.302761
78	8061	97.956894	26.321224
79	8192	98.07034	26.666803
80	8129	98.05015	27.147734
81	7920	97.82794	27.572842
82	7774	97.73928	27.520554
83	7874	97.792465	27.270329
84	7822	97.60346	27.647774
85	7752	97.11408	27.471796
86	7681	97.52303	27.198244
87	7833	97.5997	27.432692
88	7805	97.76358	27.481508
89	7759	97.8621	27.271498
90	7912	97.38806	27.183632
91	7851	96.89049	27.019583
92	7854	96.45596	26.868628
93	7809	96.27262	26.631687
94	7916	95.93995	27.050177
95	7748	96.35597	27.53609
96	7714	96.36229	27.825089
97	7579	96.69125	27.811382
98	7558	96.962685	27.708363
99	7592	97.15767	27.644354
100	7744	97.326836	28.129938
101	7629	96.89587	27.70624
102	7614	96.66927	27.389484
103	7718	96.36392	26.894798
104	7862	96.400085	27.301647
105	7665	96.01309	27.07022
106	7780	95.708595	26.800093
107	7768	95.25383	26.37782
108	7870	95.69407	26.460884
109	7988	95.88815	26.57645
110	7843	95.52545	26.952856
111	7752	95.06802	26.986637
112	7635	94.67063	27.3386
113	7496	94.58701	27.320648
114	7503	94.148224	27.489868
115	7563	94.291695	27.26656
116	7515	94.2318	27.425097
117	7569	94.565704	27.025177
118	7665	94.852455	26.995283
119	7714	94.924255	27.046974
120	7576	95.25359	26.62728
121	7799	95.67509	26.953068
122	7751	95.97022	26.946869
123	7805	95.937546	27.377522
124	7614	95.94717	27.599392
125	7500	96.20277	27.58361
126	7566	96.18492	27.268373
127	7750	96.43641	27.729542
128	7701	96.1108	27.653345
129	7615	96.17603	28.071518
130	7563	96.37603	28.50813
131	7490	96.488335	28.130592
132	7598	96.53787	28.249693
133	7498	96.05741	28.140488
134	7587	96.08888	27.937284
135	7614	96.51507	28.139181
136	7476	96.259796	27.941296
137	7548	95.85606	28.186146
138	7456	95.973465	28.355806
139	7405	96.25326	28.574383
140	7395	96.37806	28.74382
141	7351	95.95495	28.867474
142	7296	95.89526	28.989683
143	7266	95.8744	29.07899
144	7334	95.61713	29.188599
145	7150	95.42404	29.219034
146	7211	95.66804	29.394756
147	7136	95.374405	29.830072
148	7028	95.17652	29.792645
149	7096	94.7486	30.197584
150	6949	95.17666	30.2046
151	6950	94.86792	29.790907
152	7006	94.808105	29.958075
153	7015	94.56848	29.8469
154	7024	94.7568	29.751755
155	7001	95.24321	30.040071
156	7029	94.83631	30.185295
157	7011	95.32443	30.621424
158	6908	95.00053	30.748785
159	6767	95.06987	30.588114
160	6855	95.45028	30.549608
161	6866	95.22004	30.8885
162	6880	94.802765	31.049288
163	6827	94.44313	30.961523
164	6829	94.634865	30.97666
165	6800	94.37484	30.548456
166	6845	94.35644	30.95435
167	6810	94.05141	30.689823
168	6908	93.631546	30.45242
169	6833	93.21023	29.973822
170	6951	93.46654	29.931398
171	6934	93.44409	30.22578
172	6808	93.49463	29.809053
173	6915	93.82276	29.515038
174	6998	94.269875	29.030678
175	7153	93.85658	29.208632
176	7051	93.51576	29.287045
177	7038	93.607735	28.920694
178	7168	93.30267	28.907072
179	7150	93.73486	28.708267
180	7198	94.106445	28.894035
181	7161	94.50127	28.73831
182	7190	94.048615	29.161057
183	7035	94.398705	28.771614
184	7236	94.86529	29.192785
185	7141	94.93852	28.72576
186	7319	94.7623	28.973373
187	7201	95.006065	29.008215
188	7261	94.82085	29.255613
189	7162	94.80802	29.387255
190	7067	95.303635	29.140125
191	7147	95.6217	29.637117
192	7094	95.427376	29.357914
193	7206	95.21595	29.016668
194	7340	95.26034	28.857405
195	7265	95.32868	28.946978
196	7249	95.78889	28.854128
197	7332	95.73995	29.21284
198	7189	95.95681	29.323633
199	7192	96.24378	29.181774
200	7269	96.63105	29.575335
201	7160	96.55802	29.98108
202	7075	96.1178	29.868416
203	7079	96.34544	29.490705
204	7245	96.66261	29.178858
205	7321	96.20967	29.541357
206	7054	96.46973	29.734594
207	7130	96.78272	29.594965
208	7232	96.74598	29.52566
209	7217	96.86502	29.202318
210	7217	97.033966	28.754374
211	7351	96.97851	28.549644
212	7409	96.70486	28.2211
213	7478	97.02801	28.59929
214	7496	96.71623	28.723492
215	7386	96.40489	28.95175
216	7251	96.37048	28.828344
217	7249	96.17302	28.55788
218	7286	96.11985	28.725006
219	7433	96.17861	28.310083
220	7467	96.495705	28.741291
221	7404	96.02125	29.230217
222	7177	96.093994	29.406301
223	7304	95.78759	29.692469
224	7093	95.58966	29.269636
225	7199	96.01404	29.268335
226	7187	95.914474	29.447216
227	7202	96.32298	29.116335
228	7272	95.89878	29.334808
229	7092	95.441414	29.229334
230	7157	95.62277	29.653397
231	7139	95.17888	30.126188
232	7039	95.18267	29.68435
233	7143	95.386696	29.978897
234	6947	95.45827	29.763073
235	7094	95.82539	30.20928
236	7046	96.17052	30.151777
